,Author,Journal,Year,Paper,Editor,City,Edition,Isbn,Dni,Age,Pages,EditorDni,EditorAge
57,Prakash Panangaden,IEEE Journal,2018,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",Joseph M. Morris,London,edition 2018 IEEE Journal,141021756,68684078,46,8,81114767,88
58,Jianwen Su,UPC journal,2015,Automatic verification of concurrent systems using a formula-based compositional approach.,Joseph M. Morris,Balaguer,edition 2015 UPC journal,143672181,89454580,57,7,81114767,88
59,Richard Hull 0001,UPC journal,2015,Automatic verification of concurrent systems using a formula-based compositional approach.,Joseph M. Morris,Balaguer,edition 2015 UPC journal,143672181,64288593,61,7,81114767,88
60,Manfred P. Stadel,UPC journal,2015,On Removing the Machine from the Language.,Jürgen Nehmer,London,edition 2015 UPC journal,148540123,84197110,83,8,56284034,35
61,Manfred P. Stadel,IEEE Journal,2016,Complete Problems for Space Bounded Subclasses of NP.,Jürgen Nehmer,Lleida,edition 2016 IEEE Journal,190155135,84197110,83,8,56284034,35
62,Carlo Montangero,UPC journal,2021,Efficient controller synthesis for a fragment of MTL,Patrick Cousot,Barcelona,edition 2021 UPC journal,62998721,78828557,88,15,97637508,43
63,X. J. Chen,UPC journal,2021,Efficient controller synthesis for a fragment of MTL,Patrick Cousot,Barcelona,edition 2021 UPC journal,62998721,67738580,82,15,97637508,43
64,Erzsébet Csuhaj-Varjú,UPC journal,2017,Two Notions of Correctness and Their Relation to Testing.,Jürgen Nehmer,London,edition 2017 UPC journal,105629899,94720443,32,6,56284034,35
65,Victor Mitrana,UPC journal,2017,Two Notions of Correctness and Their Relation to Testing.,Jürgen Nehmer,London,edition 2017 UPC journal,105629899,65555808,25,6,56284034,35
66,Ernst-Rüdiger Olderog,IEEE Journal,2015,Best Huffman Trees.,Patrick Cousot,Balaguer,edition 2015 IEEE Journal,146827695,93409750,46,19,97637508,43
67,Rob J. van Glabbeek,IEEE Journal,2015,Best Huffman Trees.,Patrick Cousot,Balaguer,edition 2015 IEEE Journal,146827695,86377256,70,19,97637508,43
68,Ursula Goltz,IEEE Journal,2015,Best Huffman Trees.,Patrick Cousot,Balaguer,edition 2015 IEEE Journal,146827695,93276904,44,19,97637508,43
69,Yijie Han,UPC journal,2021,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,Joseph M. Morris,Barcelona,edition 2021 UPC journal,113442849,79509702,40,13,81114767,88
70,Yoshihide Igarashi,UPC journal,2021,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,Joseph M. Morris,Barcelona,edition 2021 UPC journal,113442849,71378547,28,13,81114767,88
71,Luc Devroye,IEEE Journal,2021,The Parsing Problem for Affix Grammars.,Isi Mitrani,Balaguer,edition 2021 IEEE Journal,167828873,76007798,54,20,80247201,80
72,Carlo Montangero,UPC journal,2015,On Efficient Entreeings.,Isi Mitrani,London,edition 2015 UPC journal,69868080,78828557,88,13,80247201,80
73,X. J. Chen,UPC journal,2015,On Efficient Entreeings.,Isi Mitrani,London,edition 2015 UPC journal,69868080,67738580,82,13,80247201,80
74,Sanjeev Saxena,UPC journal,2018,Persistence of Vector Replacement Systems is Decidable.,Jürgen Nehmer,Lleida,edition 2018 UPC journal,185568100,58371471,47,13,56284034,35
75,Sandeep Sen,UPC journal,2017,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Patrick Cousot,Barcelona,edition 2017 UPC journal,110084746,65660630,40,10,97637508,43
76,Sanguthevar Rajasekaran,UPC journal,2017,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Patrick Cousot,Barcelona,edition 2017 UPC journal,110084746,63630401,71,10,97637508,43
77,Robin Milner,IEEE Journal,2018,Functional Behavior in Data Spaces.,Jürgen Nehmer,Lleida,edition 2018 IEEE Journal,137859268,91032560,35,11,56284034,35
78,Francesca Rossi,UPC journal,2017,Inductive Completion with Retracts.,Isi Mitrani,Barcelona,edition 2017 UPC journal,92409748,91322911,48,20,80247201,80
79,Ugo Montanari,UPC journal,2017,Inductive Completion with Retracts.,Isi Mitrani,Barcelona,edition 2017 UPC journal,92409748,50015497,80,20,80247201,80
