,Author,Conference,Year,Paper,Editor,City,Edition,Isbn,Dni,Age,Pages,EditorDni,EditorAge
21,Hans Ulrich Simon,UDL conference,2018,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Walter J. Savitch,Madrid,edition 2018 UDL conference,162899425,57240839,33,20,88959047,39
22,Sanjeev Saxena,MAXsat conference,2018,Regular and context-free nominal traces.,Walter J. Savitch,Lleida,edition 2018 MAXsat conference,117190544,97939121,65,4,88959047,39
23,Sanjeev Saxena,MAXsat conference,2020,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,George Leih,Madrid,edition 2020 MAXsat conference,58508871,97939121,65,7,49259883,59
24,Norbert Blum,UDL conference,2019,Special issue: Synthesis and SYNT 2014.,Karl Meinke,Lleida,edition 2019 UDL conference,141546775,94826399,33,16,88387790,61
25,Norbert Blum,UDL conference,2017,On the Synchronization in Parallel Communicating Grammar Systems.,George Leih,Madrid,edition 2017 UDL conference,175335949,94826399,33,7,49259883,59
26,Sanjeev Saxena,UDL conference,2016,Weakly Context-Sensitive Languages as Model for Programming Languages.,Walter J. Savitch,London,edition 2016 UDL conference,141084813,97939121,65,15,88959047,39
27,Sanjeev Saxena,UDL conference,2019,Rules of Inference for Procedure Calls.,Walter J. Savitch,Madrid,edition 2019 UDL conference,179283865,97939121,65,17,88959047,39
28,Hans Ulrich Simon,UDL conference,2019,The Construction of Operator Interfaces Based on Logical Input Devices.,Walter J. Savitch,Balaguer,edition 2019 UDL conference,178429440,57240839,33,4,88959047,39
29,Hans Ulrich Simon,MAXsat conference,2016,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,George Leih,Barcelona,edition 2016 MAXsat conference,98276146,57240839,33,18,49259883,59
30,Hans Ulrich Simon,MAXsat conference,2015,Gobang ist PSPACE-vollständig.,Karl Meinke,Barcelona,edition 2015 MAXsat conference,178619420,57240839,33,16,88387790,61
31,Norbert Blum,MAXsat conference,2018,A note on autodense related languages.,Walter J. Savitch,Lleida,edition 2018 MAXsat conference,176214175,94826399,33,19,88959047,39
32,Nathan Goodman,UDL conference,2019,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Walter J. Savitch,Balaguer,edition 2019 UDL conference,92514059,81428395,76,6,88959047,39
33,Oded Shmueli,UDL conference,2019,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Walter J. Savitch,Balaguer,edition 2019 UDL conference,92514059,69705216,89,6,88959047,39
34,Juha Honkala,MAXsat conference,2015,Optimizing the Costs of Hierarchical Quorum Consensus.,Karl Meinke,Barcelona,edition 2015 MAXsat conference,64485255,84300194,83,7,88387790,61
35,Nathan Goodman,MAXsat conference,2015,Recursive Petri nets.,Delphine Longuet,Balaguer,edition 2015 MAXsat conference,185422210,81428395,76,5,60571715,37
36,Oded Shmueli,MAXsat conference,2015,Recursive Petri nets.,Delphine Longuet,Balaguer,edition 2015 MAXsat conference,185422210,69705216,89,5,60571715,37
37,Juha Honkala,MAXsat conference,2020,Multitype Multiprogramming Models.,Karl Meinke,Madrid,edition 2020 MAXsat conference,94488289,84300194,83,9,88387790,61
38,Arnold Schönhage,MAXsat conference,2019,Automatic Correction of Syntax-Errors in Programming Languages.,Karl Meinke,London,edition 2019 MAXsat conference,160866472,95850559,27,4,88387790,61
39,Juha Honkala,MAXsat conference,2017,Representation and uniformization of algebraic transductions.,Delphine Longuet,Barcelona,edition 2017 MAXsat conference,149236243,84300194,83,20,60571715,37
40,Nathan Goodman,UDL conference,2018,Concurrent Bisimulations in Petri Nets.,Delphine Longuet,London,edition 2018 UDL conference,91817288,81428395,76,14,60571715,37
41,Oded Shmueli,UDL conference,2018,Concurrent Bisimulations in Petri Nets.,Delphine Longuet,London,edition 2018 UDL conference,91817288,69705216,89,14,60571715,37
42,Sanjeev Saxena,UDL conference,2021,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Delphine Longuet,Balaguer,edition 2021 UDL conference,78470874,97939121,65,7,60571715,37
43,Norbert Blum,UDL conference,2015,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,George Leih,Madrid,edition 2015 UDL conference,128477102,94826399,33,19,49259883,59
44,Nathan Goodman,MAXsat conference,2021,State space axioms for T-systems.,Delphine Longuet,Barcelona,edition 2021 MAXsat conference,134521672,81428395,76,7,60571715,37
45,Oded Shmueli,MAXsat conference,2021,State space axioms for T-systems.,Delphine Longuet,Barcelona,edition 2021 MAXsat conference,134521672,69705216,89,7,60571715,37
46,Arnold Schönhage,UDL conference,2021,Extended multi bottom-up tree transducers.,George Leih,Madrid,edition 2021 UDL conference,120436384,95850559,27,15,49259883,59
47,Sanjeev Saxena,UDL conference,2017,The Clean Termination of Iterative Programs.,George Leih,London,edition 2017 UDL conference,56456732,97939121,65,11,49259883,59
48,Nathan Goodman,MAXsat conference,2016,Infinite Proof Rules for Loops.,Walter J. Savitch,Madrid,edition 2016 MAXsat conference,118930735,81428395,76,14,88959047,39
49,Oded Shmueli,MAXsat conference,2016,Infinite Proof Rules for Loops.,Walter J. Savitch,Madrid,edition 2016 MAXsat conference,118930735,69705216,89,14,88959047,39
50,Sanjeev Saxena,UDL conference,2019,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Karl Meinke,Balaguer,edition 2019 UDL conference,150818531,97939121,65,20,88387790,61
51,Norbert Blum,MAXsat conference,2016,"Running a job on a collection of partly available machines, with on-line restarts.",Karl Meinke,London,edition 2016 MAXsat conference,64012373,94826399,33,17,88387790,61
52,Nathan Goodman,UDL conference,2018,Data Refinement by Calculation.,Delphine Longuet,Lleida,edition 2018 UDL conference,64053647,81428395,76,18,60571715,37
53,Oded Shmueli,UDL conference,2018,Data Refinement by Calculation.,Delphine Longuet,Lleida,edition 2018 UDL conference,64053647,69705216,89,18,60571715,37
54,Norbert Blum,UDL conference,2020,Program Refinement in Fair Transition Systems.,George Leih,Balaguer,edition 2020 UDL conference,93512111,94826399,33,6,49259883,59
55,Sanjeev Saxena,MAXsat conference,2019,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Karl Meinke,London,edition 2019 MAXsat conference,87255345,97939121,65,19,88387790,61
56,Juha Honkala,MAXsat conference,2018,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",George Leih,Barcelona,edition 2018 MAXsat conference,170229477,84300194,83,16,49259883,59
57,Hans Ulrich Simon,MAXsat conference,2015,On the Look-Ahead Problem in Lexical Analysis.,Walter J. Savitch,London,edition 2015 MAXsat conference,98025661,57240839,33,5,88959047,39
58,Arnold Schönhage,MAXsat conference,2020,A theory of formal synthesis via inductive learning.,Walter J. Savitch,Barcelona,edition 2020 MAXsat conference,162135713,95850559,27,7,88959047,39
59,Norbert Blum,UDL conference,2019,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Walter J. Savitch,Barcelona,edition 2019 UDL conference,175173469,94826399,33,17,88959047,39
60,Juha Honkala,MAXsat conference,2018,Data Encodings and Their Costs.,Walter J. Savitch,London,edition 2018 MAXsat conference,48483548,84300194,83,12,88959047,39
61,Nathan Goodman,UDL conference,2015,Hierarchies of Complete Problems.,Delphine Longuet,Madrid,edition 2015 UDL conference,144257396,81428395,76,16,60571715,37
62,Oded Shmueli,UDL conference,2015,Hierarchies of Complete Problems.,Delphine Longuet,Madrid,edition 2015 UDL conference,144257396,69705216,89,16,60571715,37
63,Norbert Blum,MAXsat conference,2021,Ein Vollständigkeitssatz für Programme und Schaltkreise.,George Leih,London,edition 2021 MAXsat conference,149154209,94826399,33,13,49259883,59
64,Norbert Blum,UDL conference,2019,Type-based information flow analysis for the pi-calculus.,Karl Meinke,Lleida,edition 2019 UDL conference,73093703,94826399,33,17,88387790,61
65,Nathan Goodman,UDL conference,2017,Sur une Conjecture de S. Greibach.,George Leih,Balaguer,edition 2017 UDL conference,60456969,81428395,76,14,49259883,59
66,Oded Shmueli,UDL conference,2017,Sur une Conjecture de S. Greibach.,George Leih,Balaguer,edition 2017 UDL conference,60456969,69705216,89,14,49259883,59
67,Norbert Blum,UDL conference,2018,A Conservation Law for G/G/m Queueing Systems.,Delphine Longuet,Lleida,edition 2018 UDL conference,141721108,94826399,33,7,60571715,37
68,Norbert Blum,UDL conference,2020,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,George Leih,Barcelona,edition 2020 UDL conference,50859048,94826399,33,9,49259883,59
69,Hans Ulrich Simon,UDL conference,2015,Context-Free Graph Grammars and Concatenation of Graphs.,Delphine Longuet,Barcelona,edition 2015 UDL conference,158703530,57240839,33,12,60571715,37
70,Nathan Goodman,MAXsat conference,2017,On a Class of Recursive Procedures and Equivalent Iterative Ones.,Delphine Longuet,Barcelona,edition 2017 MAXsat conference,153901590,81428395,76,10,60571715,37
71,Oded Shmueli,MAXsat conference,2017,On a Class of Recursive Procedures and Equivalent Iterative Ones.,Delphine Longuet,Barcelona,edition 2017 MAXsat conference,153901590,69705216,89,10,60571715,37
72,Norbert Blum,UDL conference,2016,Algorithms for Fast Evaluation of Boolean Expressions.,Walter J. Savitch,Barcelona,edition 2016 UDL conference,168495205,94826399,33,15,88959047,39
73,Hans Ulrich Simon,UDL conference,2015,A general account of coinduction up-to.,George Leih,Barcelona,edition 2015 UDL conference,151492318,57240839,33,5,49259883,59
74,Arnold Schönhage,MAXsat conference,2020,A Comparison of Two Synchronizing Concepts.,George Leih,Barcelona,edition 2020 MAXsat conference,108077084,95850559,27,12,49259883,59
75,Norbert Blum,UDL conference,2019,How to Calculate Symmetries of Petri Nets.,Walter J. Savitch,London,edition 2019 UDL conference,165838440,94826399,33,5,88959047,39
76,Juha Honkala,UDL conference,2020,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",George Leih,Barcelona,edition 2020 UDL conference,105522428,84300194,83,9,49259883,59
77,Sanjeev Saxena,UDL conference,2018,Recognizability of graph and pattern languages.,Walter J. Savitch,Barcelona,edition 2018 UDL conference,125196663,97939121,65,12,88959047,39
78,Juha Honkala,MAXsat conference,2015,The Synthesis Problem of Petri Nets.,Delphine Longuet,Balaguer,edition 2015 MAXsat conference,96328122,84300194,83,7,60571715,37
79,Hans Ulrich Simon,MAXsat conference,2019,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,Delphine Longuet,Balaguer,edition 2019 MAXsat conference,124924415,57240839,33,7,60571715,37
80,Arnold Schönhage,UDL conference,2015,On weighted first-order logics with discounting.,Delphine Longuet,Madrid,edition 2015 UDL conference,52111670,95850559,27,7,60571715,37
81,Nathan Goodman,UDL conference,2016,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,Karl Meinke,Balaguer,edition 2016 UDL conference,192125326,81428395,76,9,88387790,61
82,Oded Shmueli,UDL conference,2016,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,Karl Meinke,Balaguer,edition 2016 UDL conference,192125326,69705216,89,9,88387790,61
83,Juha Honkala,UDL conference,2020,"Demonic, angelic and unbounded probabilistic choices in sequential programs.",Karl Meinke,Lleida,edition 2020 UDL conference,195415898,84300194,83,17,88387790,61
84,Arnold Schönhage,MAXsat conference,2018,An Efficiency Preorder for Processes.,George Leih,Barcelona,edition 2018 MAXsat conference,188928483,95850559,27,10,49259883,59
85,Juha Honkala,UDL conference,2019,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,Delphine Longuet,Madrid,edition 2019 UDL conference,76394133,84300194,83,5,60571715,37
86,Norbert Blum,UDL conference,2021,Modeling Splits in File Structures.,Walter J. Savitch,Lleida,edition 2021 UDL conference,74481685,94826399,33,17,88959047,39
87,Norbert Blum,MAXsat conference,2020,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,Delphine Longuet,Lleida,edition 2020 MAXsat conference,132091084,94826399,33,8,60571715,37
88,Hans Ulrich Simon,UDL conference,2015,Synchronized regular expressions.,Delphine Longuet,London,edition 2015 UDL conference,145787680,57240839,33,15,60571715,37
89,Hans Ulrich Simon,MAXsat conference,2018,On regular tree languages and deterministic pushdown automata.,Karl Meinke,Balaguer,edition 2018 MAXsat conference,171732200,57240839,33,9,88387790,61
90,Juha Honkala,UDL conference,2018,A Modal Logic for Message Passing Processes.,Karl Meinke,London,edition 2018 UDL conference,146156415,84300194,83,20,88387790,61
91,Norbert Blum,UDL conference,2020,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,Walter J. Savitch,London,edition 2020 UDL conference,121587141,94826399,33,9,88959047,39
92,Sanjeev Saxena,UDL conference,2021,Does indirect addressing matter? - A note.,Delphine Longuet,Lleida,edition 2021 UDL conference,139003798,97939121,65,14,60571715,37
93,Arnold Schönhage,MAXsat conference,2018,Reasoning Algebraically about Loops.,Delphine Longuet,London,edition 2018 MAXsat conference,118290462,95850559,27,7,60571715,37
94,Hans Ulrich Simon,MAXsat conference,2015,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,Walter J. Savitch,Balaguer,edition 2015 MAXsat conference,142675824,57240839,33,5,88959047,39
95,Sanjeev Saxena,UDL conference,2018,Trace Nets and Process Automata.,Karl Meinke,Lleida,edition 2018 UDL conference,145686898,97939121,65,16,88387790,61
96,Arnold Schönhage,UDL conference,2016,Metric propositional neighborhood logic with an equivalence relation.,George Leih,Lleida,edition 2016 UDL conference,85024228,95850559,27,17,49259883,59
97,Arnold Schönhage,UDL conference,2015,A Principle of Independence for Binary Tree Searching.,Delphine Longuet,Balaguer,edition 2015 UDL conference,53027846,95850559,27,13,60571715,37
98,Hans Ulrich Simon,UDL conference,2021,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.,Walter J. Savitch,Lleida,edition 2021 UDL conference,181821238,57240839,33,15,88959047,39
99,Hans Ulrich Simon,UDL conference,2017,The Paging Drum Queue: A Uniform Perspective and Further Results.,Walter J. Savitch,Barcelona,edition 2017 UDL conference,62664842,57240839,33,15,88959047,39
100,Sanjeev Saxena,UDL conference,2019,The Undecidability of the Unification and Matching Problem for Canonical Theories.,Walter J. Savitch,Balaguer,edition 2019 UDL conference,135372276,97939121,65,11,88959047,39
101,Nathan Goodman,MAXsat conference,2017,The Programming Language Pascal.,Karl Meinke,London,edition 2017 MAXsat conference,49872593,81428395,76,16,88387790,61
102,Oded Shmueli,MAXsat conference,2017,The Programming Language Pascal.,Karl Meinke,London,edition 2017 MAXsat conference,49872593,69705216,89,16,88387790,61
103,Hans Ulrich Simon,MAXsat conference,2020,"Semantics, calculi, and analysis for object-oriented specifications.",Karl Meinke,London,edition 2020 MAXsat conference,116467766,57240839,33,7,88387790,61
104,Sanjeev Saxena,UDL conference,2015,Inhibitionsfelder.,George Leih,Madrid,edition 2015 UDL conference,80045671,97939121,65,6,49259883,59
105,Norbert Blum,MAXsat conference,2015,Head and state hierarchies for unary multi-head finite automata.,Delphine Longuet,Balaguer,edition 2015 MAXsat conference,142248312,94826399,33,17,60571715,37
106,Juha Honkala,MAXsat conference,2020,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Delphine Longuet,London,edition 2020 MAXsat conference,157605086,84300194,83,13,60571715,37
107,Hans Ulrich Simon,UDL conference,2020,The stuttering principle revisited.,George Leih,Lleida,edition 2020 UDL conference,151681406,57240839,33,8,49259883,59
108,Sanjeev Saxena,MAXsat conference,2017,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Delphine Longuet,Lleida,edition 2017 MAXsat conference,179650990,97939121,65,12,60571715,37
109,Nathan Goodman,MAXsat conference,2016,Lazy Structure Sharing for Query Optimization.,Walter J. Savitch,Barcelona,edition 2016 MAXsat conference,82624788,81428395,76,13,88959047,39
110,Oded Shmueli,MAXsat conference,2016,Lazy Structure Sharing for Query Optimization.,Walter J. Savitch,Barcelona,edition 2016 MAXsat conference,82624788,69705216,89,13,88959047,39
111,Juha Honkala,MAXsat conference,2021,Fair ambients.,Delphine Longuet,London,edition 2021 MAXsat conference,191757336,84300194,83,13,60571715,37
112,Norbert Blum,UDL conference,2017,Concurrent Access to Data.,George Leih,Lleida,edition 2017 UDL conference,110523297,94826399,33,16,49259883,59
113,Nathan Goodman,UDL conference,2018,Relaxed red-black trees with group updates.,Walter J. Savitch,Barcelona,edition 2018 UDL conference,105159979,81428395,76,7,88959047,39
114,Oded Shmueli,UDL conference,2018,Relaxed red-black trees with group updates.,Walter J. Savitch,Barcelona,edition 2018 UDL conference,105159979,69705216,89,7,88959047,39
115,Norbert Blum,UDL conference,2015,Generation of Efficient ,Karl Meinke,Barcelona,edition 2015 UDL conference,120862208,94826399,33,5,88387790,61
116,Juha Honkala,UDL conference,2019,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,Karl Meinke,Lleida,edition 2019 UDL conference,82410458,84300194,83,6,88387790,61
117,Juha Honkala,MAXsat conference,2018,Priority Conflict-Free Petri Nets.,George Leih,Madrid,edition 2018 MAXsat conference,108224267,84300194,83,10,49259883,59
118,Sanjeev Saxena,MAXsat conference,2020,Optimum Multiway Search Trees.,Karl Meinke,Madrid,edition 2020 MAXsat conference,195473239,97939121,65,9,88387790,61
119,Sanjeev Saxena,MAXsat conference,2019,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,Delphine Longuet,London,edition 2019 MAXsat conference,85929891,97939121,65,14,60571715,37
120,Sanjeev Saxena,UDL conference,2018,Parallel Integer Sorting Using Small Operations.,Walter J. Savitch,Barcelona,edition 2018 UDL conference,116415181,97939121,65,18,88959047,39
121,Hans Ulrich Simon,MAXsat conference,2016,Stochastic cooperative distributed grammar systems and random graphs.,Karl Meinke,London,edition 2016 MAXsat conference,105583965,57240839,33,17,88387790,61
122,Sanjeev Saxena,UDL conference,2020,Performance Evaluation of Fork and Join Synchronization Primitives.,George Leih,Barcelona,edition 2020 UDL conference,87379726,97939121,65,6,49259883,59
123,Hans Ulrich Simon,UDL conference,2015,Some properties of the disjunctive languages contained in ,Walter J. Savitch,London,edition 2015 UDL conference,194622073,57240839,33,14,88959047,39
124,Sanjeev Saxena,UDL conference,2019,Systolic Automata for VLSI on Balanced Trees.,Walter J. Savitch,London,edition 2019 UDL conference,114175728,97939121,65,17,88959047,39
125,Sanjeev Saxena,UDL conference,2016,A new natural structural congruence in the pi-calculus with replication.,Delphine Longuet,Madrid,edition 2016 UDL conference,49250428,97939121,65,15,60571715,37
126,Hans Ulrich Simon,UDL conference,2020,Optimal Multiprogramming.,Delphine Longuet,Barcelona,edition 2020 UDL conference,83954454,57240839,33,10,60571715,37
127,Juha Honkala,UDL conference,2015,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,George Leih,Madrid,edition 2015 UDL conference,157061371,84300194,83,6,49259883,59
128,Arnold Schönhage,UDL conference,2019,On Real-Time Cellular Automata and Trellis Automata.,George Leih,Lleida,edition 2019 UDL conference,136868003,95850559,27,15,49259883,59
129,Sanjeev Saxena,MAXsat conference,2019,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,Delphine Longuet,Balaguer,edition 2019 MAXsat conference,100117180,97939121,65,19,60571715,37
130,Sanjeev Saxena,UDL conference,2018,Performance Preorder and Competitive Equivalence.,Delphine Longuet,Madrid,edition 2018 UDL conference,82352368,97939121,65,11,60571715,37
131,Hans Ulrich Simon,MAXsat conference,2021,A Survey of Normal Form Covers for Context Free Grammars.,Karl Meinke,London,edition 2021 MAXsat conference,72377563,57240839,33,20,88387790,61
132,Hans Ulrich Simon,UDL conference,2016,A Note on Synthesis and Classification of Sorting Algorithms.,Delphine Longuet,Lleida,edition 2016 UDL conference,84732252,57240839,33,14,60571715,37
133,Juha Honkala,MAXsat conference,2015,Liveness of a mutex algorithm in a fair process algebra.,George Leih,Balaguer,edition 2015 MAXsat conference,60611143,84300194,83,18,49259883,59
134,Hans Ulrich Simon,UDL conference,2020,"Another Look at the ""Longest Ascending Subsequence"" Problem.",Karl Meinke,London,edition 2020 UDL conference,84534666,57240839,33,13,88387790,61
135,Arnold Schönhage,UDL conference,2018,Complexity Theory and the Operational Structure of Algebraic Programming Systems.,Karl Meinke,Barcelona,edition 2018 UDL conference,121907692,95850559,27,10,88387790,61
136,Arnold Schönhage,MAXsat conference,2015,Models for Reactivity.,Delphine Longuet,Madrid,edition 2015 MAXsat conference,91133996,95850559,27,6,60571715,37
137,Nathan Goodman,MAXsat conference,2015,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition.",Karl Meinke,Barcelona,edition 2015 MAXsat conference,174747242,81428395,76,12,88387790,61
138,Oded Shmueli,MAXsat conference,2015,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition.",Karl Meinke,Barcelona,edition 2015 MAXsat conference,174747242,69705216,89,12,88387790,61
139,Juha Honkala,UDL conference,2017,A Proof System for Distributed Processes.,Karl Meinke,Lleida,edition 2017 UDL conference,56556744,84300194,83,16,88387790,61
140,Sanjeev Saxena,UDL conference,2020,Finite State Relational Programs.,Delphine Longuet,Balaguer,edition 2020 UDL conference,105195503,97939121,65,20,60571715,37
141,Norbert Blum,MAXsat conference,2021,A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoß.,George Leih,Lleida,edition 2021 MAXsat conference,172847648,94826399,33,18,49259883,59
142,Sanjeev Saxena,UDL conference,2015,MAT learners for tree series: an abstract data type and two realizations.,Walter J. Savitch,London,edition 2015 UDL conference,191715401,97939121,65,4,88959047,39
143,Nathan Goodman,UDL conference,2016,Exponentially decreasing number of operations in balanced trees.,Delphine Longuet,Madrid,edition 2016 UDL conference,141431651,81428395,76,14,60571715,37
144,Oded Shmueli,UDL conference,2016,Exponentially decreasing number of operations in balanced trees.,Delphine Longuet,Madrid,edition 2016 UDL conference,141431651,69705216,89,14,60571715,37
145,Hans Ulrich Simon,UDL conference,2020,Correctness of the Compiling Process Based on Axiomatic Semantics.,George Leih,Madrid,edition 2020 UDL conference,156319594,57240839,33,12,49259883,59
146,Hans Ulrich Simon,MAXsat conference,2020,Paramodulated Connection Graphs.,Delphine Longuet,Balaguer,edition 2020 MAXsat conference,151132215,57240839,33,14,60571715,37
147,Sanjeev Saxena,MAXsat conference,2018,The Lattice of Data Refinement.,Karl Meinke,Madrid,edition 2018 MAXsat conference,118813262,97939121,65,16,88387790,61
148,Juha Honkala,MAXsat conference,2016,Backtracking in Recursive Computations.,Karl Meinke,Balaguer,edition 2016 MAXsat conference,179274435,84300194,83,8,88387790,61
149,Hans Ulrich Simon,UDL conference,2015,A first step in characterizing three-element codes.,George Leih,London,edition 2015 UDL conference,67755777,57240839,33,10,49259883,59
150,Norbert Blum,UDL conference,2017,Efficient LL(1) Error Correction and Recovery Using Only Insertions.,Karl Meinke,Madrid,edition 2017 UDL conference,144455612,94826399,33,18,88387790,61
151,Arnold Schönhage,UDL conference,2020,Formal Derivation of Strongly Correct Concurrent Programs.,Delphine Longuet,Lleida,edition 2020 UDL conference,193500101,95850559,27,14,60571715,37
