,Author,Conference,Year,Paper,Editor,City,Edition,Isbn,Dni,Age,Pages,EditorDni,EditorAge
14,Nathan Goodman,MAXsat conference,2021,Probabilistic bisimulation for realistic schedulers.,George Leih,Barcelona,edition 2021 MAXsat conference,109577079,86790355,73,13,69110874,74
15,Oded Shmueli,MAXsat conference,2021,Probabilistic bisimulation for realistic schedulers.,George Leih,Barcelona,edition 2021 MAXsat conference,109577079,97522900,50,13,69110874,74
16,Nathan Goodman,UDL conference,2021,Explaining the Wheel Sieve.,Karl Meinke,Madrid,edition 2021 UDL conference,136577757,86790355,73,7,85590747,25
17,Oded Shmueli,UDL conference,2021,Explaining the Wheel Sieve.,Karl Meinke,Madrid,edition 2021 UDL conference,136577757,97522900,50,7,85590747,25
18,Sanjeev Saxena,UDL conference,2018,Another Polynomial Homomorphism.,Delphine Longuet,Barcelona,edition 2018 UDL conference,135955065,73769451,86,9,48557724,22
19,Juha Honkala,UDL conference,2021,Variance Reduction Techniques for the Simulation of Markov Process.,Delphine Longuet,Madrid,edition 2021 UDL conference,172137064,50032042,81,12,48557724,22
20,Nathan Goodman,UDL conference,2018,State complexity of deletion and bipolar deletion.,Delphine Longuet,Lleida,edition 2018 UDL conference,121740860,86790355,73,11,48557724,22
21,Oded Shmueli,UDL conference,2018,State complexity of deletion and bipolar deletion.,Delphine Longuet,Lleida,edition 2018 UDL conference,121740860,97522900,50,11,48557724,22
22,Juha Honkala,MAXsat conference,2021,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Karl Meinke,Madrid,edition 2021 MAXsat conference,154185709,50032042,81,13,85590747,25
23,Sanjeev Saxena,UDL conference,2020,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Delphine Longuet,London,edition 2020 UDL conference,88922703,73769451,86,9,48557724,22
24,Nathan Goodman,MAXsat conference,2018,Regular and context-free nominal traces.,Delphine Longuet,Balaguer,edition 2018 MAXsat conference,187358199,86790355,73,6,48557724,22
25,Oded Shmueli,MAXsat conference,2018,Regular and context-free nominal traces.,Delphine Longuet,Balaguer,edition 2018 MAXsat conference,187358199,97522900,50,6,48557724,22
26,Arnold Schönhage,MAXsat conference,2018,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Delphine Longuet,Lleida,edition 2018 MAXsat conference,124224993,68877725,74,20,48557724,22
27,Juha Honkala,MAXsat conference,2020,Special issue: Synthesis and SYNT 2014.,George Leih,Balaguer,edition 2020 MAXsat conference,90371192,50032042,81,15,69110874,74
28,Juha Honkala,MAXsat conference,2019,On the Synchronization in Parallel Communicating Grammar Systems.,Walter J. Savitch,Balaguer,edition 2019 MAXsat conference,177800516,50032042,81,13,79312258,50
29,Sanjeev Saxena,MAXsat conference,2016,Weakly Context-Sensitive Languages as Model for Programming Languages.,George Leih,London,edition 2016 MAXsat conference,150438649,73769451,86,18,69110874,74
30,Arnold Schönhage,MAXsat conference,2018,Rules of Inference for Procedure Calls.,Karl Meinke,Lleida,edition 2018 MAXsat conference,170066737,68877725,74,13,85590747,25
31,Sanjeev Saxena,UDL conference,2019,The Construction of Operator Interfaces Based on Logical Input Devices.,Delphine Longuet,London,edition 2019 UDL conference,173030771,73769451,86,15,48557724,22
32,Juha Honkala,UDL conference,2015,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,George Leih,Lleida,edition 2015 UDL conference,175856049,50032042,81,16,69110874,74
33,Hans Ulrich Simon,UDL conference,2017,Gobang ist PSPACE-vollständig.,George Leih,Madrid,edition 2017 UDL conference,52901638,87502135,22,19,69110874,74
34,Juha Honkala,UDL conference,2015,A note on autodense related languages.,George Leih,Lleida,edition 2015 UDL conference,137304061,50032042,81,12,69110874,74
35,Arnold Schönhage,MAXsat conference,2021,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Walter J. Savitch,London,edition 2021 MAXsat conference,102072795,68877725,74,14,79312258,50
36,Nathan Goodman,MAXsat conference,2016,Optimizing the Costs of Hierarchical Quorum Consensus.,Karl Meinke,Lleida,edition 2016 MAXsat conference,194981609,86790355,73,18,85590747,25
37,Oded Shmueli,MAXsat conference,2016,Optimizing the Costs of Hierarchical Quorum Consensus.,Karl Meinke,Lleida,edition 2016 MAXsat conference,194981609,97522900,50,18,85590747,25
38,Hans Ulrich Simon,UDL conference,2016,Recursive Petri nets.,Karl Meinke,Barcelona,edition 2016 UDL conference,82559396,87502135,22,9,85590747,25
39,Nathan Goodman,UDL conference,2015,Multitype Multiprogramming Models.,Karl Meinke,Madrid,edition 2015 UDL conference,95390390,86790355,73,9,85590747,25
40,Oded Shmueli,UDL conference,2015,Multitype Multiprogramming Models.,Karl Meinke,Madrid,edition 2015 UDL conference,95390390,97522900,50,9,85590747,25
41,Hans Ulrich Simon,UDL conference,2020,Automatic Correction of Syntax-Errors in Programming Languages.,Delphine Longuet,Balaguer,edition 2020 UDL conference,110625376,87502135,22,11,48557724,22
42,Nathan Goodman,MAXsat conference,2015,Representation and uniformization of algebraic transductions.,Delphine Longuet,Barcelona,edition 2015 MAXsat conference,79821014,86790355,73,4,48557724,22
43,Oded Shmueli,MAXsat conference,2015,Representation and uniformization of algebraic transductions.,Delphine Longuet,Barcelona,edition 2015 MAXsat conference,79821014,97522900,50,4,48557724,22
44,Hans Ulrich Simon,UDL conference,2019,Concurrent Bisimulations in Petri Nets.,Walter J. Savitch,Balaguer,edition 2019 UDL conference,110627450,87502135,22,18,79312258,50
45,Arnold Schönhage,MAXsat conference,2020,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Delphine Longuet,London,edition 2020 MAXsat conference,81993562,68877725,74,11,48557724,22
46,Arnold Schönhage,UDL conference,2021,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Delphine Longuet,Balaguer,edition 2021 UDL conference,139750619,68877725,74,13,48557724,22
47,Nathan Goodman,MAXsat conference,2016,State space axioms for T-systems.,George Leih,Balaguer,edition 2016 MAXsat conference,150332062,86790355,73,19,69110874,74
48,Oded Shmueli,MAXsat conference,2016,State space axioms for T-systems.,George Leih,Balaguer,edition 2016 MAXsat conference,150332062,97522900,50,19,69110874,74
49,Juha Honkala,UDL conference,2018,Extended multi bottom-up tree transducers.,Delphine Longuet,Balaguer,edition 2018 UDL conference,160519528,50032042,81,7,48557724,22
50,Hans Ulrich Simon,UDL conference,2020,The Clean Termination of Iterative Programs.,George Leih,Madrid,edition 2020 UDL conference,72550199,87502135,22,11,69110874,74
51,Arnold Schönhage,MAXsat conference,2018,Infinite Proof Rules for Loops.,Karl Meinke,Madrid,edition 2018 MAXsat conference,55803431,68877725,74,9,85590747,25
52,Arnold Schönhage,UDL conference,2021,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Karl Meinke,Balaguer,edition 2021 UDL conference,68167284,68877725,74,6,85590747,25
53,Norbert Blum,MAXsat conference,2019,"Running a job on a collection of partly available machines, with on-line restarts.",Karl Meinke,Balaguer,edition 2019 MAXsat conference,76388545,72489441,72,8,85590747,25
54,Arnold Schönhage,MAXsat conference,2020,Data Refinement by Calculation.,George Leih,Balaguer,edition 2020 MAXsat conference,161085665,68877725,74,18,69110874,74
55,Arnold Schönhage,UDL conference,2018,Program Refinement in Fair Transition Systems.,Delphine Longuet,Balaguer,edition 2018 UDL conference,58852647,68877725,74,13,48557724,22
56,Juha Honkala,MAXsat conference,2017,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Karl Meinke,Lleida,edition 2017 MAXsat conference,73855261,50032042,81,19,85590747,25
57,Hans Ulrich Simon,UDL conference,2020,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",George Leih,Balaguer,edition 2020 UDL conference,151083058,87502135,22,12,69110874,74
58,Hans Ulrich Simon,MAXsat conference,2017,On the Look-Ahead Problem in Lexical Analysis.,Walter J. Savitch,Balaguer,edition 2017 MAXsat conference,143804063,87502135,22,12,79312258,50
59,Arnold Schönhage,UDL conference,2021,A theory of formal synthesis via inductive learning.,Delphine Longuet,Balaguer,edition 2021 UDL conference,77232886,68877725,74,19,48557724,22
60,Sanjeev Saxena,UDL conference,2016,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Walter J. Savitch,London,edition 2016 UDL conference,187177989,73769451,86,20,79312258,50
61,Sanjeev Saxena,MAXsat conference,2018,Data Encodings and Their Costs.,Walter J. Savitch,London,edition 2018 MAXsat conference,124108508,73769451,86,15,79312258,50
62,Nathan Goodman,MAXsat conference,2021,Hierarchies of Complete Problems.,Delphine Longuet,Balaguer,edition 2021 MAXsat conference,154967634,86790355,73,19,48557724,22
63,Oded Shmueli,MAXsat conference,2021,Hierarchies of Complete Problems.,Delphine Longuet,Balaguer,edition 2021 MAXsat conference,154967634,97522900,50,19,48557724,22
64,Hans Ulrich Simon,UDL conference,2021,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Karl Meinke,Balaguer,edition 2021 UDL conference,115864215,87502135,22,6,85590747,25
65,Nathan Goodman,UDL conference,2015,Type-based information flow analysis for the pi-calculus.,Karl Meinke,Barcelona,edition 2015 UDL conference,99019906,86790355,73,14,85590747,25
66,Oded Shmueli,UDL conference,2015,Type-based information flow analysis for the pi-calculus.,Karl Meinke,Barcelona,edition 2015 UDL conference,99019906,97522900,50,14,85590747,25
67,Arnold Schönhage,MAXsat conference,2016,Sur une Conjecture de S. Greibach.,Karl Meinke,Madrid,edition 2016 MAXsat conference,166573196,68877725,74,13,85590747,25
68,Norbert Blum,UDL conference,2020,A Conservation Law for G/G/m Queueing Systems.,Delphine Longuet,Lleida,edition 2020 UDL conference,133399689,72489441,72,13,48557724,22
69,Hans Ulrich Simon,UDL conference,2017,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Karl Meinke,Madrid,edition 2017 UDL conference,186329106,87502135,22,9,85590747,25
70,Hans Ulrich Simon,MAXsat conference,2020,Context-Free Graph Grammars and Concatenation of Graphs.,Walter J. Savitch,Barcelona,edition 2020 MAXsat conference,89623459,87502135,22,4,79312258,50
71,Hans Ulrich Simon,UDL conference,2020,On a Class of Recursive Procedures and Equivalent Iterative Ones.,George Leih,Barcelona,edition 2020 UDL conference,140568791,87502135,22,12,69110874,74
72,Nathan Goodman,MAXsat conference,2017,Algorithms for Fast Evaluation of Boolean Expressions.,George Leih,Barcelona,edition 2017 MAXsat conference,147448634,86790355,73,5,69110874,74
73,Oded Shmueli,MAXsat conference,2017,Algorithms for Fast Evaluation of Boolean Expressions.,George Leih,Barcelona,edition 2017 MAXsat conference,147448634,97522900,50,5,69110874,74
74,Sanjeev Saxena,UDL conference,2018,A general account of coinduction up-to.,Delphine Longuet,London,edition 2018 UDL conference,164272422,73769451,86,15,48557724,22
75,Arnold Schönhage,MAXsat conference,2017,A Comparison of Two Synchronizing Concepts.,Delphine Longuet,Madrid,edition 2017 MAXsat conference,178455511,68877725,74,12,48557724,22
76,Juha Honkala,UDL conference,2017,How to Calculate Symmetries of Petri Nets.,Walter J. Savitch,London,edition 2017 UDL conference,58853636,50032042,81,19,79312258,50
77,Hans Ulrich Simon,UDL conference,2019,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",Delphine Longuet,Madrid,edition 2019 UDL conference,77232404,87502135,22,10,48557724,22
78,Juha Honkala,UDL conference,2015,Recognizability of graph and pattern languages.,Walter J. Savitch,Barcelona,edition 2015 UDL conference,117199960,50032042,81,10,79312258,50
79,Arnold Schönhage,UDL conference,2021,The Synthesis Problem of Petri Nets.,George Leih,Balaguer,edition 2021 UDL conference,160023059,68877725,74,18,69110874,74
80,Nathan Goodman,UDL conference,2016,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,Delphine Longuet,Madrid,edition 2016 UDL conference,94189689,86790355,73,8,48557724,22
81,Oded Shmueli,UDL conference,2016,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,Delphine Longuet,Madrid,edition 2016 UDL conference,94189689,97522900,50,8,48557724,22
82,Nathan Goodman,UDL conference,2016,On weighted first-order logics with discounting.,George Leih,London,edition 2016 UDL conference,98189382,86790355,73,19,69110874,74
83,Oded Shmueli,UDL conference,2016,On weighted first-order logics with discounting.,George Leih,London,edition 2016 UDL conference,98189382,97522900,50,19,69110874,74
84,Norbert Blum,UDL conference,2015,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,George Leih,Barcelona,edition 2015 UDL conference,50363741,72489441,72,5,69110874,74
85,Hans Ulrich Simon,UDL conference,2021,"Demonic, angelic and unbounded probabilistic choices in sequential programs.",Karl Meinke,Madrid,edition 2021 UDL conference,106828960,87502135,22,7,85590747,25
86,Hans Ulrich Simon,MAXsat conference,2018,An Efficiency Preorder for Processes.,George Leih,Madrid,edition 2018 MAXsat conference,131229449,87502135,22,9,69110874,74
87,Juha Honkala,UDL conference,2020,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,Delphine Longuet,Barcelona,edition 2020 UDL conference,128912047,50032042,81,8,48557724,22
88,Nathan Goodman,UDL conference,2015,Modeling Splits in File Structures.,Delphine Longuet,London,edition 2015 UDL conference,166285888,86790355,73,13,48557724,22
89,Oded Shmueli,UDL conference,2015,Modeling Splits in File Structures.,Delphine Longuet,London,edition 2015 UDL conference,166285888,97522900,50,13,48557724,22
90,Norbert Blum,MAXsat conference,2016,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,Walter J. Savitch,Lleida,edition 2016 MAXsat conference,118460678,72489441,72,6,79312258,50
91,Juha Honkala,UDL conference,2016,Synchronized regular expressions.,Walter J. Savitch,London,edition 2016 UDL conference,88412751,50032042,81,9,79312258,50
92,Arnold Schönhage,MAXsat conference,2015,On regular tree languages and deterministic pushdown automata.,George Leih,Madrid,edition 2015 MAXsat conference,140919595,68877725,74,8,69110874,74
93,Hans Ulrich Simon,MAXsat conference,2015,A Modal Logic for Message Passing Processes.,Walter J. Savitch,Balaguer,edition 2015 MAXsat conference,64232676,87502135,22,6,79312258,50
94,Sanjeev Saxena,UDL conference,2021,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,Delphine Longuet,Lleida,edition 2021 UDL conference,125675023,73769451,86,18,48557724,22
95,Hans Ulrich Simon,UDL conference,2020,Does indirect addressing matter? - A note.,Walter J. Savitch,Barcelona,edition 2020 UDL conference,186100243,87502135,22,18,79312258,50
96,Hans Ulrich Simon,MAXsat conference,2019,Reasoning Algebraically about Loops.,George Leih,London,edition 2019 MAXsat conference,143531568,87502135,22,9,69110874,74
97,Arnold Schönhage,MAXsat conference,2017,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,Karl Meinke,London,edition 2017 MAXsat conference,117454478,68877725,74,4,85590747,25
98,Norbert Blum,UDL conference,2015,Trace Nets and Process Automata.,George Leih,Barcelona,edition 2015 UDL conference,119740030,72489441,72,13,69110874,74
99,Hans Ulrich Simon,MAXsat conference,2016,Metric propositional neighborhood logic with an equivalence relation.,Walter J. Savitch,Balaguer,edition 2016 MAXsat conference,183992547,87502135,22,18,79312258,50
100,Norbert Blum,UDL conference,2015,A Principle of Independence for Binary Tree Searching.,George Leih,Madrid,edition 2015 UDL conference,77651000,72489441,72,18,69110874,74
101,Arnold Schönhage,UDL conference,2018,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.,Karl Meinke,Barcelona,edition 2018 UDL conference,125410994,68877725,74,4,85590747,25
102,Sanjeev Saxena,UDL conference,2020,The Paging Drum Queue: A Uniform Perspective and Further Results.,Delphine Longuet,London,edition 2020 UDL conference,188166837,73769451,86,4,48557724,22
103,Sanjeev Saxena,MAXsat conference,2019,The Undecidability of the Unification and Matching Problem for Canonical Theories.,Walter J. Savitch,Lleida,edition 2019 MAXsat conference,110368549,73769451,86,18,79312258,50
104,Sanjeev Saxena,MAXsat conference,2017,The Programming Language Pascal.,Walter J. Savitch,Barcelona,edition 2017 MAXsat conference,84510069,73769451,86,7,79312258,50
105,Juha Honkala,MAXsat conference,2019,"Semantics, calculi, and analysis for object-oriented specifications.",George Leih,Barcelona,edition 2019 MAXsat conference,187057241,50032042,81,6,69110874,74
106,Nathan Goodman,MAXsat conference,2018,Inhibitionsfelder.,Karl Meinke,Madrid,edition 2018 MAXsat conference,69124794,86790355,73,10,85590747,25
107,Oded Shmueli,MAXsat conference,2018,Inhibitionsfelder.,Karl Meinke,Madrid,edition 2018 MAXsat conference,69124794,97522900,50,10,85590747,25
108,Arnold Schönhage,UDL conference,2020,Head and state hierarchies for unary multi-head finite automata.,Walter J. Savitch,Lleida,edition 2020 UDL conference,192212623,68877725,74,20,79312258,50
109,Nathan Goodman,UDL conference,2016,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Walter J. Savitch,Madrid,edition 2016 UDL conference,189861676,86790355,73,11,79312258,50
110,Oded Shmueli,UDL conference,2016,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Walter J. Savitch,Madrid,edition 2016 UDL conference,189861676,97522900,50,11,79312258,50
111,Sanjeev Saxena,MAXsat conference,2019,The stuttering principle revisited.,Karl Meinke,Balaguer,edition 2019 MAXsat conference,96954059,73769451,86,20,85590747,25
112,Norbert Blum,MAXsat conference,2017,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Delphine Longuet,Balaguer,edition 2017 MAXsat conference,75589831,72489441,72,6,48557724,22
113,Juha Honkala,UDL conference,2015,Lazy Structure Sharing for Query Optimization.,George Leih,London,edition 2015 UDL conference,167300420,50032042,81,11,69110874,74
114,Sanjeev Saxena,MAXsat conference,2020,Fair ambients.,George Leih,Balaguer,edition 2020 MAXsat conference,107422684,73769451,86,4,69110874,74
115,Norbert Blum,MAXsat conference,2015,Concurrent Access to Data.,Delphine Longuet,Barcelona,edition 2015 MAXsat conference,150325192,72489441,72,7,48557724,22
116,Arnold Schönhage,UDL conference,2020,Relaxed red-black trees with group updates.,Karl Meinke,Lleida,edition 2020 UDL conference,121654414,68877725,74,13,85590747,25
117,Juha Honkala,UDL conference,2021,Generation of Efficient ,Delphine Longuet,Lleida,edition 2021 UDL conference,163607545,50032042,81,17,48557724,22
118,Norbert Blum,MAXsat conference,2017,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,Walter J. Savitch,Madrid,edition 2017 MAXsat conference,80413720,72489441,72,18,79312258,50
119,Nathan Goodman,UDL conference,2020,Priority Conflict-Free Petri Nets.,Walter J. Savitch,Balaguer,edition 2020 UDL conference,114144885,86790355,73,15,79312258,50
120,Oded Shmueli,UDL conference,2020,Priority Conflict-Free Petri Nets.,Walter J. Savitch,Balaguer,edition 2020 UDL conference,114144885,97522900,50,15,79312258,50
121,Sanjeev Saxena,UDL conference,2017,Optimum Multiway Search Trees.,George Leih,Madrid,edition 2017 UDL conference,153004291,73769451,86,14,69110874,74
122,Sanjeev Saxena,MAXsat conference,2017,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,Walter J. Savitch,Barcelona,edition 2017 MAXsat conference,80312036,73769451,86,5,79312258,50
123,Juha Honkala,UDL conference,2019,Parallel Integer Sorting Using Small Operations.,George Leih,Lleida,edition 2019 UDL conference,53339437,50032042,81,12,69110874,74
124,Norbert Blum,UDL conference,2017,Stochastic cooperative distributed grammar systems and random graphs.,Karl Meinke,London,edition 2017 UDL conference,98630249,72489441,72,8,85590747,25
125,Hans Ulrich Simon,UDL conference,2018,Performance Evaluation of Fork and Join Synchronization Primitives.,Karl Meinke,Lleida,edition 2018 UDL conference,77572860,87502135,22,14,85590747,25
126,Norbert Blum,UDL conference,2020,Some properties of the disjunctive languages contained in ,Walter J. Savitch,Balaguer,edition 2020 UDL conference,116955363,72489441,72,12,79312258,50
127,Hans Ulrich Simon,UDL conference,2015,Systolic Automata for VLSI on Balanced Trees.,Karl Meinke,Barcelona,edition 2015 UDL conference,62960775,87502135,22,4,85590747,25
128,Sanjeev Saxena,MAXsat conference,2017,A new natural structural congruence in the pi-calculus with replication.,George Leih,London,edition 2017 MAXsat conference,119414757,73769451,86,8,69110874,74
129,Juha Honkala,UDL conference,2016,Optimal Multiprogramming.,George Leih,Balaguer,edition 2016 UDL conference,50851091,50032042,81,19,69110874,74
130,Arnold Schönhage,MAXsat conference,2021,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,George Leih,London,edition 2021 MAXsat conference,154992310,68877725,74,20,69110874,74
131,Juha Honkala,UDL conference,2021,On Real-Time Cellular Automata and Trellis Automata.,Karl Meinke,Balaguer,edition 2021 UDL conference,95665895,50032042,81,12,85590747,25
132,Sanjeev Saxena,MAXsat conference,2021,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,Karl Meinke,Lleida,edition 2021 MAXsat conference,113267828,73769451,86,18,85590747,25
133,Hans Ulrich Simon,MAXsat conference,2015,Performance Preorder and Competitive Equivalence.,Walter J. Savitch,Barcelona,edition 2015 MAXsat conference,178760915,87502135,22,12,79312258,50
134,Hans Ulrich Simon,MAXsat conference,2018,A Survey of Normal Form Covers for Context Free Grammars.,Walter J. Savitch,Barcelona,edition 2018 MAXsat conference,81831436,87502135,22,11,79312258,50
135,Hans Ulrich Simon,UDL conference,2019,A Note on Synthesis and Classification of Sorting Algorithms.,Walter J. Savitch,Madrid,edition 2019 UDL conference,141712387,87502135,22,13,79312258,50
136,Sanjeev Saxena,MAXsat conference,2021,Liveness of a mutex algorithm in a fair process algebra.,Karl Meinke,Madrid,edition 2021 MAXsat conference,116898166,73769451,86,18,85590747,25
137,Hans Ulrich Simon,MAXsat conference,2015,"Another Look at the ""Longest Ascending Subsequence"" Problem.",George Leih,Balaguer,edition 2015 MAXsat conference,192275492,87502135,22,19,69110874,74
138,Norbert Blum,MAXsat conference,2018,Complexity Theory and the Operational Structure of Algebraic Programming Systems.,George Leih,Lleida,edition 2018 MAXsat conference,75431647,72489441,72,8,69110874,74
139,Hans Ulrich Simon,UDL conference,2017,Models for Reactivity.,Walter J. Savitch,Balaguer,edition 2017 UDL conference,131657993,87502135,22,10,79312258,50
140,Sanjeev Saxena,MAXsat conference,2016,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition.",Karl Meinke,Lleida,edition 2016 MAXsat conference,129222704,73769451,86,8,85590747,25
141,Sanjeev Saxena,UDL conference,2015,A Proof System for Distributed Processes.,Walter J. Savitch,Lleida,edition 2015 UDL conference,90744572,73769451,86,7,79312258,50
142,Norbert Blum,UDL conference,2018,Finite State Relational Programs.,George Leih,London,edition 2018 UDL conference,105811253,72489441,72,6,69110874,74
143,Juha Honkala,UDL conference,2016,A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoß.,George Leih,Madrid,edition 2016 UDL conference,172593837,50032042,81,15,69110874,74
144,Norbert Blum,MAXsat conference,2019,MAT learners for tree series: an abstract data type and two realizations.,George Leih,Madrid,edition 2019 MAXsat conference,117039032,72489441,72,11,69110874,74
145,Arnold Schönhage,MAXsat conference,2021,Exponentially decreasing number of operations in balanced trees.,Walter J. Savitch,Lleida,edition 2021 MAXsat conference,182089617,68877725,74,7,79312258,50
146,Norbert Blum,UDL conference,2019,Correctness of the Compiling Process Based on Axiomatic Semantics.,George Leih,Lleida,edition 2019 UDL conference,150268859,72489441,72,17,69110874,74
147,Nathan Goodman,MAXsat conference,2018,Paramodulated Connection Graphs.,Walter J. Savitch,Barcelona,edition 2018 MAXsat conference,151001466,86790355,73,19,79312258,50
148,Oded Shmueli,MAXsat conference,2018,Paramodulated Connection Graphs.,Walter J. Savitch,Barcelona,edition 2018 MAXsat conference,151001466,97522900,50,19,79312258,50
149,Arnold Schönhage,MAXsat conference,2018,The Lattice of Data Refinement.,Karl Meinke,Barcelona,edition 2018 MAXsat conference,151899369,68877725,74,10,85590747,25
150,Arnold Schönhage,MAXsat conference,2019,Backtracking in Recursive Computations.,Karl Meinke,London,edition 2019 MAXsat conference,57209436,68877725,74,20,85590747,25
151,Nathan Goodman,UDL conference,2017,A first step in characterizing three-element codes.,Delphine Longuet,Madrid,edition 2017 UDL conference,53766070,86790355,73,10,48557724,22
152,Oded Shmueli,UDL conference,2017,A first step in characterizing three-element codes.,Delphine Longuet,Madrid,edition 2017 UDL conference,53766070,97522900,50,10,48557724,22
153,Norbert Blum,UDL conference,2019,Efficient LL(1) Error Correction and Recovery Using Only Insertions.,Delphine Longuet,Madrid,edition 2019 UDL conference,196269273,72489441,72,10,48557724,22
